"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.original_image_url","Input.window_image_url","Input.minmax_image_url","Input.stratified_image_url","Input.RDP_image_url","Input.VW_image_url","Answer.equal.label","Approve","Reject"
"33IXYHIZB6RUFCRIIF3K360CIKA2EQ","3QZMXSMFJ7PMSQEJHZ180D4DWH3KL4","Which one of the images is more similar to the given one? (considering the marked circles in the given image)","Select the Image which is more similar to the given one by considering the marked circles. The given plot depicts time series data where circles denotes anomaly.","image, equality, comparison","$0.01","Wed Oct 30 00:03:15 PDT 2019","25","BatchId:3818221;OriginalHitTemplateId:928390889;","300","86400","Fri Nov 01 00:03:15 PDT 2019","","","3Q5ZZ9ZEVQO7RSY7DXOJXN2SC1185H","A119XB4OETWU59","Approved","Wed Oct 30 00:07:34 PDT 2019","Wed Oct 30 00:07:51 PDT 2019","Thu Oct 31 00:07:51 PDT 2019","Wed Oct 30 06:59:58 PDT 2019","","","17","100% (136/136)","100% (105/105)","0% (0/0)","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/taxi_original.png","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/taxi_window.png","https://imagecheck1.s3.us-east-2.amazonaws.com/turk/taxi_minmax.png","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/taxi_strat.png","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/taxi_rdp.png","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/taxi_vw.png","(A:PASS)"
"33IXYHIZB6RUFCRIIF3K360CIKA2EQ","3QZMXSMFJ7PMSQEJHZ180D4DWH3KL4","Which one of the images is more similar to the given one? (considering the marked circles in the given image)","Select the Image which is more similar to the given one by considering the marked circles. The given plot depicts time series data where circles denotes anomaly.","image, equality, comparison","$0.01","Wed Oct 30 00:03:15 PDT 2019","25","BatchId:3818221;OriginalHitTemplateId:928390889;","300","86400","Fri Nov 01 00:03:15 PDT 2019","","","3LEIZ60CDL85CB16PD1DMN4YX6X9ZK","A13VEEU1DPKKOU","Approved","Wed Oct 30 00:49:01 PDT 2019","Wed Oct 30 00:49:09 PDT 2019","Thu Oct 31 00:49:09 PDT 2019","Wed Oct 30 06:59:58 PDT 2019","","","8","100% (65/65)","100% (64/64)","0% (0/0)","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/taxi_original.png","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/taxi_window.png","https://imagecheck1.s3.us-east-2.amazonaws.com/turk/taxi_minmax.png","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/taxi_strat.png","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/taxi_rdp.png","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/taxi_vw.png","(A:PASS)"
"33IXYHIZB6RUFCRIIF3K360CIKA2EQ","3QZMXSMFJ7PMSQEJHZ180D4DWH3KL4","Which one of the images is more similar to the given one? (considering the marked circles in the given image)","Select the Image which is more similar to the given one by considering the marked circles. The given plot depicts time series data where circles denotes anomaly.","image, equality, comparison","$0.01","Wed Oct 30 00:03:15 PDT 2019","25","BatchId:3818221;OriginalHitTemplateId:928390889;","300","86400","Fri Nov 01 00:03:15 PDT 2019","","","3Y5140Z9DZP498S36Y9O8I1N6X6PIR","A14UJPO621M1X0","Approved","Wed Oct 30 00:04:43 PDT 2019","Wed Oct 30 00:04:51 PDT 2019","Thu Oct 31 00:04:51 PDT 2019","Wed Oct 30 06:59:58 PDT 2019","","","8","100% (126/126)","100% (117/117)","0% (0/0)","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/taxi_original.png","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/taxi_window.png","https://imagecheck1.s3.us-east-2.amazonaws.com/turk/taxi_minmax.png","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/taxi_strat.png","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/taxi_rdp.png","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/taxi_vw.png","(A:PASS)"
"33IXYHIZB6RUFCRIIF3K360CIKA2EQ","3QZMXSMFJ7PMSQEJHZ180D4DWH3KL4","Which one of the images is more similar to the given one? (considering the marked circles in the given image)","Select the Image which is more similar to the given one by considering the marked circles. The given plot depicts time series data where circles denotes anomaly.","image, equality, comparison","$0.01","Wed Oct 30 00:03:15 PDT 2019","25","BatchId:3818221;OriginalHitTemplateId:928390889;","300","86400","Fri Nov 01 00:03:15 PDT 2019","","","3YJ6NA41JDP04JC9OGUOKJGNJCVJPX","A1DXYZ9EW2R6DT","Approved","Wed Oct 30 00:04:07 PDT 2019","Wed Oct 30 00:04:50 PDT 2019","Thu Oct 31 00:04:50 PDT 2019","Wed Oct 30 06:59:58 PDT 2019","","","43","100% (116/116)","100% (107/107)","0% (0/0)","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/taxi_original.png","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/taxi_window.png","https://imagecheck1.s3.us-east-2.amazonaws.com/turk/taxi_minmax.png","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/taxi_strat.png","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/taxi_rdp.png","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/taxi_vw.png","(B:MinMax)"
"33IXYHIZB6RUFCRIIF3K360CIKA2EQ","3QZMXSMFJ7PMSQEJHZ180D4DWH3KL4","Which one of the images is more similar to the given one? (considering the marked circles in the given image)","Select the Image which is more similar to the given one by considering the marked circles. The given plot depicts time series data where circles denotes anomaly.","image, equality, comparison","$0.01","Wed Oct 30 00:03:15 PDT 2019","25","BatchId:3818221;OriginalHitTemplateId:928390889;","300","86400","Fri Nov 01 00:03:15 PDT 2019","","","3XLBSAQ9Z6L1YSDDAG3T8RDS2G77Z4","A1MHQSP1POQNXX","Approved","Wed Oct 30 00:38:26 PDT 2019","Wed Oct 30 00:38:31 PDT 2019","Thu Oct 31 00:38:31 PDT 2019","Wed Oct 30 06:59:58 PDT 2019","","","5","100% (162/162)","100% (109/109)","0% (0/0)","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/taxi_original.png","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/taxi_window.png","https://imagecheck1.s3.us-east-2.amazonaws.com/turk/taxi_minmax.png","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/taxi_strat.png","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/taxi_rdp.png","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/taxi_vw.png","(C:SS)"
"33IXYHIZB6RUFCRIIF3K360CIKA2EQ","3QZMXSMFJ7PMSQEJHZ180D4DWH3KL4","Which one of the images is more similar to the given one? (considering the marked circles in the given image)","Select the Image which is more similar to the given one by considering the marked circles. The given plot depicts time series data where circles denotes anomaly.","image, equality, comparison","$0.01","Wed Oct 30 00:03:15 PDT 2019","25","BatchId:3818221;OriginalHitTemplateId:928390889;","300","86400","Fri Nov 01 00:03:15 PDT 2019","","","31LVTDXBL9JRBMGO4TAQ5TTUOJOLRT","A1O4AAQX2KCD3N","Approved","Wed Oct 30 00:03:33 PDT 2019","Wed Oct 30 00:05:11 PDT 2019","Thu Oct 31 00:05:11 PDT 2019","Wed Oct 30 06:59:56 PDT 2019","","","98","100% (118/118)","100% (112/112)","0% (0/0)","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/taxi_original.png","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/taxi_window.png","https://imagecheck1.s3.us-east-2.amazonaws.com/turk/taxi_minmax.png","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/taxi_strat.png","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/taxi_rdp.png","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/taxi_vw.png","(B:MinMax)"
"33IXYHIZB6RUFCRIIF3K360CIKA2EQ","3QZMXSMFJ7PMSQEJHZ180D4DWH3KL4","Which one of the images is more similar to the given one? (considering the marked circles in the given image)","Select the Image which is more similar to the given one by considering the marked circles. The given plot depicts time series data where circles denotes anomaly.","image, equality, comparison","$0.01","Wed Oct 30 00:03:15 PDT 2019","25","BatchId:3818221;OriginalHitTemplateId:928390889;","300","86400","Fri Nov 01 00:03:15 PDT 2019","","","3IOEN3P9S9SLZWE0JVP9AJTKUQH61M","A1PR75OOJOLBA2","Approved","Wed Oct 30 01:39:06 PDT 2019","Wed Oct 30 01:39:12 PDT 2019","Thu Oct 31 01:39:12 PDT 2019","Wed Oct 30 06:59:57 PDT 2019","","","6","100% (35/35)","100% (35/35)","0% (0/0)","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/taxi_original.png","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/taxi_window.png","https://imagecheck1.s3.us-east-2.amazonaws.com/turk/taxi_minmax.png","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/taxi_strat.png","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/taxi_rdp.png","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/taxi_vw.png","(B:MinMax)"
"33IXYHIZB6RUFCRIIF3K360CIKA2EQ","3QZMXSMFJ7PMSQEJHZ180D4DWH3KL4","Which one of the images is more similar to the given one? (considering the marked circles in the given image)","Select the Image which is more similar to the given one by considering the marked circles. The given plot depicts time series data where circles denotes anomaly.","image, equality, comparison","$0.01","Wed Oct 30 00:03:15 PDT 2019","25","BatchId:3818221;OriginalHitTemplateId:928390889;","300","86400","Fri Nov 01 00:03:15 PDT 2019","","","3018Q3ZVOKZAF3PK72L0WFDJU7VRAN","A1YGG7LBCMRPO1","Approved","Wed Oct 30 00:46:11 PDT 2019","Wed Oct 30 00:46:16 PDT 2019","Thu Oct 31 00:46:16 PDT 2019","Wed Oct 30 06:59:56 PDT 2019","","","5","100% (63/63)","100% (63/63)","0% (0/0)","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/taxi_original.png","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/taxi_window.png","https://imagecheck1.s3.us-east-2.amazonaws.com/turk/taxi_minmax.png","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/taxi_strat.png","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/taxi_rdp.png","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/taxi_vw.png","(A:PASS)"
"33IXYHIZB6RUFCRIIF3K360CIKA2EQ","3QZMXSMFJ7PMSQEJHZ180D4DWH3KL4","Which one of the images is more similar to the given one? (considering the marked circles in the given image)","Select the Image which is more similar to the given one by considering the marked circles. The given plot depicts time series data where circles denotes anomaly.","image, equality, comparison","$0.01","Wed Oct 30 00:03:15 PDT 2019","25","BatchId:3818221;OriginalHitTemplateId:928390889;","300","86400","Fri Nov 01 00:03:15 PDT 2019","","","39GHHAVOMH0EFQQQQW20HL5SSGZJ46","A2OP2ZANIM5ZV","Approved","Wed Oct 30 00:03:32 PDT 2019","Wed Oct 30 00:05:09 PDT 2019","Thu Oct 31 00:05:09 PDT 2019","Wed Oct 30 06:59:57 PDT 2019","","","97","100% (123/123)","100% (117/117)","0% (0/0)","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/taxi_original.png","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/taxi_window.png","https://imagecheck1.s3.us-east-2.amazonaws.com/turk/taxi_minmax.png","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/taxi_strat.png","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/taxi_rdp.png","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/taxi_vw.png","(A:PASS)"
"33IXYHIZB6RUFCRIIF3K360CIKA2EQ","3QZMXSMFJ7PMSQEJHZ180D4DWH3KL4","Which one of the images is more similar to the given one? (considering the marked circles in the given image)","Select the Image which is more similar to the given one by considering the marked circles. The given plot depicts time series data where circles denotes anomaly.","image, equality, comparison","$0.01","Wed Oct 30 00:03:15 PDT 2019","25","BatchId:3818221;OriginalHitTemplateId:928390889;","300","86400","Fri Nov 01 00:03:15 PDT 2019","","","36H9ULYP643OD6NFADYJ8P2JH68JFU","A2ZSQLANLQ7OC6","Approved","Wed Oct 30 00:03:50 PDT 2019","Wed Oct 30 00:03:55 PDT 2019","Thu Oct 31 00:03:55 PDT 2019","Wed Oct 30 06:59:56 PDT 2019","","","5","100% (109/109)","100% (100/100)","0% (0/0)","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/taxi_original.png","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/taxi_window.png","https://imagecheck1.s3.us-east-2.amazonaws.com/turk/taxi_minmax.png","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/taxi_strat.png","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/taxi_rdp.png","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/taxi_vw.png","(C:SS)"
