"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.original_image_url","Input.check_image_url","Answer.equal.label","Approve","Reject"
"3PKJ68EHDO565IGSF1HINQJ6CBMJH8","37BTIVOV5BYGX0QJEEPVKYRLSSYKJ2","Does this image contain the similar patterns like the given image? (Please rate the image based on the similarity)","Does this image contain the similar patterns? Rate the Image based on the similarity with given one by considering the marked circles. The given plot depicts time series data.","image, equality, comparison","$0.01","Tue Oct 29 23:11:06 PDT 2019","25","BatchId:3818187;OriginalHitTemplateId:928390889;","300","86400","Thu Oct 31 23:11:06 PDT 2019","","","32UTUBMZ7I57RKBTM0Q6SNMSXUFBVF","A47E0Z3LTH37V","Approved","Tue Oct 29 23:13:28 PDT 2019","Tue Oct 29 23:14:02 PDT 2019","Wed Oct 30 23:14:02 PDT 2019","Wed Oct 30 00:33:47 PDT 2019","","","34","100% (126/126)","100% (117/117)","0% (0/0)","https://s3.us-east-2.amazonaws.com/imagecheck1/d13/original_d13.png","https://s3.us-east-2.amazonaws.com/imagecheck1/d13/win_d13.png","(3) Almost Similar"
"3PKJ68EHDO565IGSF1HINQJ6CBMJH8","37BTIVOV5BYGX0QJEEPVKYRLSSYKJ2","Does this image contain the similar patterns like the given image? (Please rate the image based on the similarity)","Does this image contain the similar patterns? Rate the Image based on the similarity with given one by considering the marked circles. The given plot depicts time series data.","image, equality, comparison","$0.01","Tue Oct 29 23:11:06 PDT 2019","25","BatchId:3818187;OriginalHitTemplateId:928390889;","300","86400","Thu Oct 31 23:11:06 PDT 2019","","","36PW28KO415L6ZKFLW10X8E0FISAEG","A1MWYS9YMR5MGQ","Approved","Tue Oct 29 23:17:52 PDT 2019","Tue Oct 29 23:18:21 PDT 2019","Wed Oct 30 23:18:21 PDT 2019","Wed Oct 30 00:33:48 PDT 2019","","","29","100% (35/35)","100% (35/35)","0% (0/0)","https://s3.us-east-2.amazonaws.com/imagecheck1/d13/original_d13.png","https://s3.us-east-2.amazonaws.com/imagecheck1/d13/win_d13.png","(1)Complelety Dissimilar"
"3PKJ68EHDO565IGSF1HINQJ6CBMJH8","37BTIVOV5BYGX0QJEEPVKYRLSSYKJ2","Does this image contain the similar patterns like the given image? (Please rate the image based on the similarity)","Does this image contain the similar patterns? Rate the Image based on the similarity with given one by considering the marked circles. The given plot depicts time series data.","image, equality, comparison","$0.01","Tue Oct 29 23:11:06 PDT 2019","25","BatchId:3818187;OriginalHitTemplateId:928390889;","300","86400","Thu Oct 31 23:11:06 PDT 2019","","","37FMASSAYE025ERTNTRNDYWYPSJBII","A1YKYHR21SH7LV","Approved","Tue Oct 29 23:13:12 PDT 2019","Tue Oct 29 23:13:38 PDT 2019","Wed Oct 30 23:13:38 PDT 2019","Wed Oct 30 00:33:48 PDT 2019","","","26","100% (53/53)","100% (53/53)","0% (0/0)","https://s3.us-east-2.amazonaws.com/imagecheck1/d13/original_d13.png","https://s3.us-east-2.amazonaws.com/imagecheck1/d13/win_d13.png","(3) Almost Similar"
"3PKJ68EHDO565IGSF1HINQJ6CBMJH8","37BTIVOV5BYGX0QJEEPVKYRLSSYKJ2","Does this image contain the similar patterns like the given image? (Please rate the image based on the similarity)","Does this image contain the similar patterns? Rate the Image based on the similarity with given one by considering the marked circles. The given plot depicts time series data.","image, equality, comparison","$0.01","Tue Oct 29 23:11:06 PDT 2019","25","BatchId:3818187;OriginalHitTemplateId:928390889;","300","86400","Thu Oct 31 23:11:06 PDT 2019","","","38F5OAUN5PLF77DJ4UXM8K9N6PD7HZ","A3VWU0WEB2VD48","Approved","Tue Oct 29 23:11:34 PDT 2019","Tue Oct 29 23:11:46 PDT 2019","Wed Oct 30 23:11:46 PDT 2019","Wed Oct 30 00:33:48 PDT 2019","","","12","100% (168/168)","100% (107/107)","0% (0/0)","https://s3.us-east-2.amazonaws.com/imagecheck1/d13/original_d13.png","https://s3.us-east-2.amazonaws.com/imagecheck1/d13/win_d13.png","(3) Almost Similar"
"3PKJ68EHDO565IGSF1HINQJ6CBMJH8","37BTIVOV5BYGX0QJEEPVKYRLSSYKJ2","Does this image contain the similar patterns like the given image? (Please rate the image based on the similarity)","Does this image contain the similar patterns? Rate the Image based on the similarity with given one by considering the marked circles. The given plot depicts time series data.","image, equality, comparison","$0.01","Tue Oct 29 23:11:06 PDT 2019","25","BatchId:3818187;OriginalHitTemplateId:928390889;","300","86400","Thu Oct 31 23:11:06 PDT 2019","","","3A1PQ49WVJQ1WLYHFEGD7AIA33DH1C","A2OP2ZANIM5ZV","Approved","Tue Oct 29 23:13:37 PDT 2019","Tue Oct 29 23:13:44 PDT 2019","Wed Oct 30 23:13:44 PDT 2019","Wed Oct 30 00:33:48 PDT 2019","","","7","100% (123/123)","100% (117/117)","0% (0/0)","https://s3.us-east-2.amazonaws.com/imagecheck1/d13/original_d13.png","https://s3.us-east-2.amazonaws.com/imagecheck1/d13/win_d13.png","(3) Almost Similar"
"3PKJ68EHDO565IGSF1HINQJ6CBMJH8","37BTIVOV5BYGX0QJEEPVKYRLSSYKJ2","Does this image contain the similar patterns like the given image? (Please rate the image based on the similarity)","Does this image contain the similar patterns? Rate the Image based on the similarity with given one by considering the marked circles. The given plot depicts time series data.","image, equality, comparison","$0.01","Tue Oct 29 23:11:06 PDT 2019","25","BatchId:3818187;OriginalHitTemplateId:928390889;","300","86400","Thu Oct 31 23:11:06 PDT 2019","","","3ATPCQ38JAJJC416LXDU4B6GXTWAYS","A3RA247RASE8TN","Approved","Tue Oct 29 23:12:27 PDT 2019","Tue Oct 29 23:12:34 PDT 2019","Wed Oct 30 23:12:34 PDT 2019","Wed Oct 30 00:33:48 PDT 2019","","","7","100% (33/33)","100% (33/33)","0% (0/0)","https://s3.us-east-2.amazonaws.com/imagecheck1/d13/original_d13.png","https://s3.us-east-2.amazonaws.com/imagecheck1/d13/win_d13.png","(3) Almost Similar"
"3PKJ68EHDO565IGSF1HINQJ6CBMJH8","37BTIVOV5BYGX0QJEEPVKYRLSSYKJ2","Does this image contain the similar patterns like the given image? (Please rate the image based on the similarity)","Does this image contain the similar patterns? Rate the Image based on the similarity with given one by considering the marked circles. The given plot depicts time series data.","image, equality, comparison","$0.01","Tue Oct 29 23:11:06 PDT 2019","25","BatchId:3818187;OriginalHitTemplateId:928390889;","300","86400","Thu Oct 31 23:11:06 PDT 2019","","","3BV8HQ2ZZYAHTKR0FEI2LKMNYK4A6V","A1ZGS4DUAL8JEW","Approved","Tue Oct 29 23:17:24 PDT 2019","Tue Oct 29 23:17:36 PDT 2019","Wed Oct 30 23:17:36 PDT 2019","Wed Oct 30 00:33:48 PDT 2019","","","12","100% (27/27)","100% (27/27)","0% (0/0)","https://s3.us-east-2.amazonaws.com/imagecheck1/d13/original_d13.png","https://s3.us-east-2.amazonaws.com/imagecheck1/d13/win_d13.png","(5) Exactly Similar"
"3PKJ68EHDO565IGSF1HINQJ6CBMJH8","37BTIVOV5BYGX0QJEEPVKYRLSSYKJ2","Does this image contain the similar patterns like the given image? (Please rate the image based on the similarity)","Does this image contain the similar patterns? Rate the Image based on the similarity with given one by considering the marked circles. The given plot depicts time series data.","image, equality, comparison","$0.01","Tue Oct 29 23:11:06 PDT 2019","25","BatchId:3818187;OriginalHitTemplateId:928390889;","300","86400","Thu Oct 31 23:11:06 PDT 2019","","","3DH6GAKTY0YKDC9EXPTTL4XP6E3ZYI","A1Y9HO4NUIUU36","Approved","Tue Oct 29 23:15:34 PDT 2019","Tue Oct 29 23:15:42 PDT 2019","Wed Oct 30 23:15:42 PDT 2019","Wed Oct 30 00:33:48 PDT 2019","","","8","100% (23/23)","100% (23/23)","0% (0/0)","https://s3.us-east-2.amazonaws.com/imagecheck1/d13/original_d13.png","https://s3.us-east-2.amazonaws.com/imagecheck1/d13/win_d13.png","(4) Very Similar"
"3PKJ68EHDO565IGSF1HINQJ6CBMJH8","37BTIVOV5BYGX0QJEEPVKYRLSSYKJ2","Does this image contain the similar patterns like the given image? (Please rate the image based on the similarity)","Does this image contain the similar patterns? Rate the Image based on the similarity with given one by considering the marked circles. The given plot depicts time series data.","image, equality, comparison","$0.01","Tue Oct 29 23:11:06 PDT 2019","25","BatchId:3818187;OriginalHitTemplateId:928390889;","300","86400","Thu Oct 31 23:11:06 PDT 2019","","","3E1QT0TDFRIJ3GTMKH7DMW6XHNZI8T","A36JOP57WZ4G52","Approved","Tue Oct 29 23:17:46 PDT 2019","Tue Oct 29 23:18:05 PDT 2019","Wed Oct 30 23:18:05 PDT 2019","Wed Oct 30 00:33:48 PDT 2019","","","19","100% (35/35)","100% (34/34)","0% (0/0)","https://s3.us-east-2.amazonaws.com/imagecheck1/d13/original_d13.png","https://s3.us-east-2.amazonaws.com/imagecheck1/d13/win_d13.png","(2) Less Similar"
"3PKJ68EHDO565IGSF1HINQJ6CBMJH8","37BTIVOV5BYGX0QJEEPVKYRLSSYKJ2","Does this image contain the similar patterns like the given image? (Please rate the image based on the similarity)","Does this image contain the similar patterns? Rate the Image based on the similarity with given one by considering the marked circles. The given plot depicts time series data.","image, equality, comparison","$0.01","Tue Oct 29 23:11:06 PDT 2019","25","BatchId:3818187;OriginalHitTemplateId:928390889;","300","86400","Thu Oct 31 23:11:06 PDT 2019","","","3EKVH9QME0DR9QBBCMX1L8DH3HY2D5","A3GX6OGXVS1ED7","Approved","Tue Oct 29 23:11:27 PDT 2019","Tue Oct 29 23:12:04 PDT 2019","Wed Oct 30 23:12:04 PDT 2019","Wed Oct 30 00:33:49 PDT 2019","","","37","100% (18/18)","100% (18/18)","0% (0/0)","https://s3.us-east-2.amazonaws.com/imagecheck1/d13/original_d13.png","https://s3.us-east-2.amazonaws.com/imagecheck1/d13/win_d13.png","(3) Almost Similar"
